# timestamp: 20251101_201209
# cam_device: /dev/video0
# res: 2560x720
# exposure_ms: 8.0
# gain: 10.0
# stimulus: rand_telegraph
# low: 0
# high: 200
# hold_frames: 3
# test_light: LS1
# light_col: 1
# light_channel: 3
# duration_s: 4.0
# dark_thresh: 90
# notes: door closed, lab lights on, ~1m distance
frame_idx,t_s,dt_s,u_dac,stim_bit,mu_S11,mu_S12,mu_S21,mu_S22,mu_S31,mu_S32,y_S11,y_S12,y_S21,y_S22,y_S31,y_S32,frame_drop
0,0.095478,0.0,200,1,93.576,110.7778,86.5021,87.0301,86.8839,90.1762,49.3369,36.0755,49.999,49.946,49.7819,49.9245,0
1,0.18716,0.091682,200,1,93.5788,110.7714,86.4983,87.0316,86.8823,90.1759,49.3431,36.1064,49.9997,49.945,49.7839,49.9232,0
2,0.283165,0.096005,200,1,93.5766,110.7576,86.5007,87.0291,86.8871,90.1715,49.3392,36.0824,49.9993,49.9482,49.7826,49.9264,0
3,0.375173,0.092008,200,1,93.5851,110.7643,86.501,87.0317,86.8776,90.1725,49.3424,36.1188,49.9993,49.9473,49.7858,49.9255,0
4,0.467215,0.092041,200,1,93.5736,110.7601,86.5006,87.0291,86.8823,90.1694,49.3379,36.096,49.9993,49.9443,49.7809,49.9261,0
5,0.563872,0.096657,200,1,93.5803,110.7464,86.5007,87.0262,86.8784,90.1665,49.346,36.1087,49.9993,49.9463,49.7878,49.9277,0
6,0.655232,0.09136,200,1,93.574,110.7321,86.5035,87.0313,86.8824,90.1635,49.3405,36.196,49.9987,49.9453,49.7806,49.9225,0
7,0.747264,0.092032,200,1,93.5693,110.7299,86.4986,87.0256,86.8848,90.1618,49.3477,36.1237,49.999,49.9453,49.7858,49.9264,0
8,0.8432,0.095936,200,1,93.568,110.7353,86.4955,87.0261,86.8792,90.1653,49.3372,36.113,49.9993,49.944,49.7868,49.9264,0
9,0.935202,0.092002,200,1,93.5612,110.7186,86.4924,87.0207,86.8773,90.157,49.3376,36.1305,49.9997,49.9476,49.7845,49.9255,0
10,1.027257,0.092055,200,1,93.5697,110.7131,86.4955,87.0231,86.8825,90.1654,49.3444,36.1491,49.9993,49.9463,49.7835,49.9281,0
11,1.123209,0.095951,200,1,93.5684,110.7303,86.4968,87.0263,86.8807,90.1571,49.3467,36.1224,49.9987,49.9469,49.7868,49.9258,0
12,1.215203,0.091994,200,1,93.5746,110.7332,86.4997,87.0275,86.8789,90.1614,49.3438,36.1338,49.999,49.9466,49.7819,49.9258,0
13,1.307284,0.092081,200,1,93.5667,110.7257,86.4958,87.0266,86.8807,90.1646,49.3424,36.1523,49.9997,49.9447,49.7871,49.9255,0
14,1.403221,0.095938,200,1,93.5586,110.723,86.4964,87.0271,86.8789,90.1638,49.3545,36.1286,49.9987,49.9453,49.7855,49.9264,0
15,1.495299,0.092077,200,1,93.5681,110.7314,86.5025,87.0269,86.8805,90.1646,49.3424,36.1305,49.9984,49.9466,49.7826,49.9274,0
16,1.591227,0.095928,200,1,93.5667,110.744,86.4952,87.0277,86.8834,90.1636,49.3473,36.1439,49.9984,49.9463,49.7822,49.9264,0
17,1.683232,0.092005,200,1,93.5649,110.7386,86.5038,87.0278,86.8794,90.1566,49.3496,36.1247,49.9993,49.946,49.7848,49.9261,0
