# timestamp: 20251101_201347
# cam_device: /dev/video0
# res: 2560x720
# exposure_ms: 8.0
# gain: 10.0
# stimulus: rand_telegraph
# low: 0
# high: 200
# hold_frames: 3
# test_light: LF2
# light_col: 2
# light_channel: 5
# duration_s: 4.0
# dark_thresh: 90
# notes: door closed, lab lights on, ~1m distance
frame_idx,t_s,dt_s,u_dac,stim_bit,mu_S11,mu_S12,mu_S21,mu_S22,mu_S31,mu_S32,y_S11,y_S12,y_S21,y_S22,y_S31,y_S32,frame_drop
0,0.095951,0.0,200,1,97.4198,120.5597,87.863,90.5842,88.9468,108.2608,48.93,17.5329,49.8304,48.5247,48.4954,38.623,0
1,0.187685,0.091734,200,1,97.4205,120.5706,87.8621,90.5856,88.943,108.258,48.9261,17.4876,49.8262,48.5212,48.5085,38.6299,0
2,0.283685,0.096,200,1,97.4248,120.5796,87.8591,90.5833,88.9522,108.2641,48.9251,17.5312,49.8294,48.5225,48.5046,38.6165,0
3,0.375687,0.092002,200,1,97.4265,120.5802,87.8579,90.5823,88.9516,108.2634,48.9199,17.514,49.8219,48.5169,48.5094,38.6081,0
4,0.467752,0.092065,200,1,97.4256,120.5645,87.8557,90.5823,88.9472,108.2597,48.9284,17.4971,49.8294,48.5098,48.5133,38.6491,0
5,0.563698,0.095946,200,1,97.4192,120.5589,87.8641,90.5828,88.9481,108.2558,48.9346,17.4762,49.8265,48.5169,48.513,38.6432,0
6,0.655712,0.092013,0,-1,97.4143,120.5565,87.8559,90.5824,88.9461,108.2465,48.9281,17.5189,49.8301,48.5218,48.5055,38.6439,0
7,0.747743,0.092032,0,-1,97.416,120.56,87.8579,90.5786,88.9339,108.2112,48.9255,17.4831,49.8285,48.5215,48.5163,38.6706,0
8,0.843725,0.095981,0,-1,88.5857,109.1219,85.8148,86.6547,85.7037,89.3097,50.0,37.1077,49.9993,49.9437,50.0,49.9287,0
9,0.935725,0.092,200,1,88.5868,109.1137,85.8176,86.6538,85.6989,89.304,50.0,37.1071,50.0,49.9476,50.0,49.9297,0
10,1.027766,0.092041,200,1,88.5858,109.1251,85.8217,86.6713,85.7352,89.9488,50.0,37.0892,50.0,49.9479,50.0,49.9261,0
11,1.123725,0.095959,200,1,97.4774,120.6495,87.8748,90.6132,88.9713,108.3207,48.9076,17.3721,49.8262,48.5107,48.4906,38.5876,0
12,1.215746,0.092021,0,-1,97.4513,120.6206,87.8679,90.6064,88.9571,108.2888,48.9271,17.4473,49.8288,48.5137,48.5007,38.6051,0
13,1.307803,0.092057,0,-1,97.4441,120.6054,87.861,90.5948,88.9432,108.2299,48.9251,17.4342,49.8275,48.5062,48.5199,38.6683,0
14,1.403745,0.095942,0,-1,88.5928,109.134,85.8136,86.659,85.7049,89.3136,50.0,37.1055,50.0,49.9469,50.0,49.929,0
15,1.495767,0.092022,0,-1,88.5933,109.1284,85.8093,86.6564,85.7027,89.3105,50.0,37.098,50.0,49.9473,50.0,49.9274,0
16,1.591742,0.095975,0,-1,88.5829,109.1308,85.8171,86.6576,85.6922,89.3047,50.0,37.1051,50.0,49.9476,50.0,49.9238,0
17,1.683759,0.092017,0,-1,88.5901,109.1343,85.8099,86.6573,85.7043,89.3137,50.0,37.0706,50.0,49.945,50.0,49.9235,0
18,1.7758,0.092041,0,-1,88.5899,109.1313,85.812,86.6548,85.7014,89.3143,50.0,37.0303,50.0,49.9489,50.0,49.9261,0
19,1.871761,0.095961,0,-1,88.5963,109.1432,85.8119,86.6576,85.697,89.3075,50.0,37.0501,49.9997,49.9469,50.0,49.9245,0
20,1.963783,0.092022,0,-1,88.5869,109.1459,85.811,86.6586,85.7038,89.31,50.0,37.0443,50.0,49.9469,50.0,49.9258,0
21,2.055811,0.092029,200,1,88.5856,109.1466,85.8126,86.6587,85.6966,89.3063,50.0,37.0465,50.0,49.9482,50.0,49.9235,0
22,2.151768,0.095956,200,1,88.5897,109.1475,85.8233,86.674,85.7422,89.9737,50.0,37.0075,50.0,49.9469,50.0,49.9242,0
23,2.243789,0.092021,200,1,97.5241,120.7088,87.8847,90.6347,88.9825,108.3592,48.9128,17.2731,49.821,48.4766,48.485,38.5436,0
24,2.335834,0.092045,200,1,97.4829,120.6668,87.8708,90.6182,88.9657,108.3292,48.9242,17.3398,49.8281,48.4967,48.4919,38.5677,0
25,2.431817,0.095983,200,1,97.4645,120.6349,87.8734,90.613,88.9616,108.3089,48.9212,17.4287,49.8255,48.4925,48.5013,38.5947,0
26,2.523857,0.09204,200,1,97.4578,120.628,87.8701,90.6074,88.9618,108.2951,48.9219,17.4069,49.8278,48.5065,48.5059,38.6051,0
27,2.619817,0.09596,0,-1,97.4358,120.6095,87.8626,90.6014,88.9517,108.2832,48.9281,17.4313,49.8249,48.5046,48.5127,38.5977,0
28,2.711875,0.092059,0,-1,97.4454,120.6076,87.86,90.5954,88.9428,108.2426,48.9271,17.4355,49.8271,48.5088,48.5173,38.6406,0
29,2.803868,0.091992,0,-1,88.5964,109.1475,85.8105,86.6573,85.7054,89.3135,50.0,37.0391,50.0,49.9466,50.0,49.9277,0
30,2.899838,0.09597,200,1,88.5919,109.1501,85.8164,86.6615,85.7046,89.3134,50.0,37.0446,50.0,49.9443,50.0,49.9255,0
31,2.991854,0.092015,200,1,88.5949,109.1547,85.8204,86.6757,85.735,89.9197,50.0,37.0713,50.0,49.9476,50.0,49.9271,0
32,3.084024,0.092171,200,1,97.5016,120.6755,87.8803,90.6183,88.9702,108.328,48.9219,17.3558,49.8203,48.4997,48.4863,38.5921,0
33,3.179922,0.095898,0,-1,97.4596,120.6351,87.8696,90.6027,88.9526,108.2983,48.9196,17.3919,49.8271,48.5107,48.4964,38.5944,0
34,3.271862,0.09194,0,-1,97.442,120.6171,87.8646,90.6003,88.9459,108.245,48.9297,17.429,49.8252,48.5039,48.5078,38.6468,0
35,3.363923,0.092061,0,-1,88.5898,109.1492,85.8169,86.6621,85.7074,89.3142,50.0,37.0231,50.0,49.9466,50.0,49.9281,0
36,3.459867,0.095944,200,1,88.5882,109.1418,85.8183,86.6658,85.7076,89.316,50.0,37.0465,50.0,49.9469,50.0,49.9229,0
37,3.551895,0.092028,200,1,88.5922,109.1418,85.8173,86.6712,85.7401,89.9268,50.0,37.0726,50.0,49.9447,50.0,49.9258,0
38,3.647863,0.095967,200,1,97.4874,120.6672,87.8775,90.6213,88.9719,108.3266,48.9264,17.362,49.8252,48.4964,48.4889,38.5872,0
39,3.739899,0.092036,200,1,97.4517,120.6363,87.8674,90.6051,88.9608,108.3016,48.9274,17.3857,49.8278,48.5065,48.4954,38.5947,0
40,3.831928,0.092029,200,1,97.4483,120.6177,87.8672,90.6054,88.9608,108.2851,48.9294,17.402,49.8268,48.5124,48.5088,38.6247,0
41,3.927881,0.095954,200,1,97.4416,120.6151,87.8659,90.594,88.9552,108.2779,48.9281,17.4245,49.8255,48.5062,48.5166,38.6084,0
42,4.019901,0.092019,200,1,97.4328,120.6022,87.865,90.592,88.9577,108.2721,48.9284,17.4372,49.8301,48.5244,48.5133,38.6374,0
43,4.111932,0.092032,200,1,97.4202,120.5832,87.8567,90.5897,88.9478,108.2619,48.9258,17.4665,49.8255,48.5208,48.514,38.6201,0
44,4.207896,0.095964,200,1,97.4097,120.5806,87.8575,90.5826,88.9454,108.2506,48.9264,17.4932,49.8262,48.5234,48.5176,38.6462,0
45,4.29992,0.092024,200,1,97.4144,120.5851,87.8577,90.5839,88.9438,108.2507,48.9294,17.4818,49.8285,48.5208,48.5163,38.6396,0
46,4.391944,0.092024,200,1,97.4146,120.5743,87.8546,90.5811,88.9393,108.2467,48.9219,17.5016,49.8294,48.5257,48.5091,38.6618,0
47,4.487904,0.09596,200,1,97.4145,120.5832,87.8606,90.5845,88.9435,108.2497,48.9297,17.4889,49.8288,48.5137,48.5052,38.6523,0
