# timestamp: 20251101_201435
# cam_device: /dev/video0
# res: 2560x720
# exposure_ms: 5.0
# gain: 10.0
# stimulus: rand_telegraph
# low: 0
# high: 200
# hold_frames: 3
# test_light: HS11
# light_col: 1
# light_channel: 1
# duration_s: 20.0
# dark_thresh: 90
# notes: door closed, lab lights on, ~1m distance
frame_idx,t_s,dt_s,u_dac,stim_bit,mu_S11,mu_S12,mu_S21,mu_S22,mu_S31,mu_S32,y_S11,y_S12,y_S21,y_S22,y_S31,y_S32,frame_drop
0,0.095893,0.0,0,-1,86.9065,101.1937,85.1679,85.7027,85.206,87.2754,50.0,40.9245,50.0,50.0,50.0,49.9834,0
1,0.18755,0.091657,0,-1,86.9033,101.1818,85.1737,85.7059,85.1991,87.2713,50.0,40.943,50.0,50.0,50.0,49.9847,0
2,0.283538,0.095989,0,-1,86.9217,101.1542,85.1685,85.7031,85.2093,87.2714,50.0,40.9743,50.0,50.0,50.0,49.9847,0
3,0.375547,0.092009,200,1,86.9367,101.1665,85.1747,85.7039,85.2044,87.271,50.0,40.9567,50.0,50.0,50.0,49.9831,0
4,0.46758,0.092033,200,1,86.9181,101.2032,85.1841,85.7081,85.2307,87.3014,50.0,40.9515,50.0,50.0,50.0,49.9844,0
5,0.563542,0.095962,200,1,99.0207,104.0576,88.444,86.2356,87.1717,89.6461,48.6045,40.6566,49.9043,50.0,50.0,49.9756,0
6,0.655671,0.092128,200,1,99.0233,104.0206,88.4441,86.2413,87.177,89.6481,48.6172,40.7243,49.9137,50.0,50.0,49.9753,0
7,0.747648,0.091978,200,1,99.0562,104.0326,88.4444,86.2402,87.1795,89.6502,48.5726,40.7051,49.9115,50.0,50.0,49.9782,0
8,0.843602,0.095954,200,1,99.0518,104.0701,88.4407,86.2413,87.1781,89.6527,48.5889,40.6829,49.9085,50.0,50.0,49.9756,0
9,0.935583,0.091981,200,1,99.0281,104.0582,88.4428,86.2433,87.1718,89.6478,48.6035,40.6699,49.9056,50.0,50.0,49.9756,0
10,1.027639,0.092057,200,1,99.0165,104.012,88.4433,86.2411,87.1762,89.6419,48.6156,40.7236,49.9089,50.0,50.0,49.9766,0
11,1.123611,0.095972,200,1,99.0404,104.0138,88.439,86.2376,87.1739,89.6499,48.5716,40.7233,49.9095,50.0,50.0,49.9772,0
12,1.215605,0.091994,0,-1,99.0694,104.0586,88.4417,86.2367,87.1749,89.6511,48.6016,40.6719,49.9069,50.0,50.0,49.9779,0
13,1.307698,0.092093,0,-1,99.0129,104.0304,88.422,86.2338,87.148,89.6228,48.6025,40.6735,49.9105,50.0,50.0,49.9762,0
14,1.403621,0.095923,0,-1,86.8999,101.1184,85.1712,85.7085,85.2042,87.2675,50.0,40.9883,50.0,50.0,50.0,49.985,0
15,1.495627,0.092006,0,-1,86.9087,101.1281,85.1699,85.7049,85.2056,87.2777,50.0,40.9798,50.0,50.0,50.0,49.984,0
16,1.591603,0.095976,0,-1,86.9321,101.1882,85.1762,85.7067,85.2118,87.2819,50.0,40.9378,50.0,50.0,50.0,49.9837,0
17,1.683629,0.092026,0,-1,86.9313,101.1756,85.1735,85.7058,85.2088,87.2775,50.0,40.9469,50.0,50.0,50.0,49.9854,0
18,1.775664,0.092035,200,1,86.9082,101.1119,85.1686,85.7034,85.2064,87.2732,50.0,40.9958,50.0,50.0,50.0,49.9847,0
19,1.871615,0.095951,200,1,86.9107,101.1312,85.1857,85.7052,85.2302,87.2997,50.0,40.9782,50.0,50.0,50.0,49.985,0
20,1.963639,0.092024,200,1,99.0401,104.0458,88.4435,86.2353,87.1762,89.6484,48.6003,40.6706,49.9076,50.0,50.0,49.9769,0
21,2.055671,0.092032,200,1,99.0534,104.0281,88.4471,86.2412,87.1765,89.647,48.5993,40.6868,49.9059,50.0,50.0,49.9772,0
22,2.151641,0.09597,200,1,99.0367,103.9763,88.4405,86.2319,87.1763,89.6478,48.6012,40.7396,49.9115,50.0,50.0,49.9775,0
23,2.243652,0.092011,200,1,99.0296,103.9991,88.4344,86.236,87.1755,89.6483,48.5872,40.737,49.9108,50.0,50.0,49.9746,0
24,2.335682,0.09203,200,1,99.0415,104.0526,88.442,86.2419,87.1724,89.6475,48.6012,40.6699,49.9072,50.0,50.0,49.9772,0
25,2.431669,0.095987,200,1,99.047,104.0292,88.4434,86.2386,87.1757,89.6503,48.597,40.6839,49.9105,50.0,50.0,49.9766,0
