# timestamp: 20251101_202349
# cam_device: /dev/video0
# res: 2560x720
# exposure_ms: 5.0
# gain: 10.0
# stimulus: rand_telegraph
# low: 0
# high: 200
# hold_frames: 3
# test_light: HF2
# light_col: 2
# light_channel: 4
# duration_s: 20.0
# dark_thresh: 90
# notes: door closed, lab lights on, ~1m distance
frame_idx,t_s,dt_s,u_dac,stim_bit,mu_S11,mu_S12,mu_S21,mu_S22,mu_S31,mu_S32,y_S11,y_S12,y_S21,y_S22,y_S31,y_S32,frame_drop
0,0.095948,0.0,200,1,91.3522,105.4268,87.3029,88.6189,92.3711,128.3984,49.2692,40.3083,49.9857,49.8027,47.4121,23.3799,0
1,0.187695,0.091747,200,1,91.3667,105.4285,87.3057,88.621,92.3716,128.3881,49.2689,40.3063,49.9889,49.8102,47.4229,23.3867,0
2,0.283668,0.095973,200,1,91.3846,105.4233,87.3042,88.6197,92.3693,128.3837,49.266,40.3027,49.9896,49.8066,47.4199,23.3688,0
3,0.375651,0.091983,200,1,91.3587,105.4172,87.2998,88.6209,92.372,128.3903,49.2633,40.3047,49.986,49.8063,47.4219,23.3874,0
4,0.467679,0.092027,200,1,91.3528,105.4228,87.3007,88.6189,92.3717,128.3874,49.2663,40.3112,49.988,49.807,47.4154,23.3949,0
5,0.563645,0.095966,200,1,91.3587,105.4234,87.3011,88.621,92.3627,128.378,49.2666,40.2992,49.9883,49.8083,47.4274,23.39,0
6,0.655672,0.092027,0,-1,91.3749,105.4247,87.3062,88.6222,92.3652,128.3758,49.265,40.2832,49.9876,49.8073,47.417,23.3864,0
7,0.7477,0.092028,0,-1,91.3679,105.4343,87.302,88.6174,92.3202,128.2662,49.2656,40.2985,49.9863,49.807,47.457,23.4069,0
8,0.843672,0.095972,0,-1,87.388,100.4742,85.3431,85.73,85.2911,87.2783,50.0,41.0527,49.9941,49.9993,50.0,49.9844,0
9,0.935689,0.092017,200,1,87.3903,100.4816,85.3409,85.7339,85.2933,87.2759,50.0,41.0576,49.9938,49.9993,50.0,49.9844,0
10,1.027714,0.092025,200,1,87.4075,100.481,85.3617,85.7509,85.3815,88.6783,50.0,41.0537,49.9945,49.9993,50.0,49.9466,0
11,1.123678,0.095964,200,1,91.3993,105.4737,87.321,88.6409,92.4134,128.4704,49.2643,40.2992,49.9857,49.807,47.4154,23.3698,0
12,1.215695,0.092017,200,1,91.3759,105.4618,87.3094,88.6298,92.3891,128.432,49.2669,40.291,49.9857,49.8047,47.4115,23.3701,0
13,1.311685,0.09599,200,1,91.3575,105.4567,87.302,88.6285,92.3733,128.41,49.264,40.2897,49.988,49.7995,47.4245,23.3763,0
14,1.403701,0.092016,200,1,91.3604,105.4503,87.3041,88.6307,92.3745,128.3989,49.2679,40.2874,49.9867,49.8083,47.443,23.3848,0
15,1.495752,0.092051,200,1,91.3797,105.4565,87.3069,88.6199,92.3701,128.3827,49.262,40.2861,49.9883,49.8083,47.4199,23.3701,0
16,1.591719,0.095967,200,1,91.3775,105.4458,87.3064,88.6234,92.3666,128.3731,49.266,40.2887,49.988,49.8105,47.4248,23.3903,0
