t_s,dt_s,series_id,u_dac_1,u_dac_2,u_dac_3,u_dac_4,u_dac_5,u_dac_6,u_dac_7,u_dac_8,u_dac_9,u_dac_10,y_S11,y_S12,y_S21,y_S22,y_S31,y_S32,y_S11_plus1,y_S12_plus1,y_S21_plus1,y_S22_plus1,y_S31_plus1,y_S32_plus1
0.095903,0.0,idlog_20251101_201140_HS11_c1ch1,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.5225,28.3522,49.2933,49.9382,49.2077,49.7363,28.4941,28.4193,49.2881,49.9398,49.209,49.7376
0.18787,0.091967,idlog_20251101_201140_HS11_c1ch1,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.4941,28.4193,49.2881,49.9398,49.209,49.7376,28.5459,28.4222,49.2972,49.9372,49.2035,49.7373
0.283604,0.095734,idlog_20251101_201140_HS11_c1ch1,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.5459,28.4222,49.2972,49.9372,49.2035,49.7373,28.6188,28.3633,49.293,49.9385,49.207,49.7334
0.37563,0.092026,idlog_20251101_201140_HS11_c1ch1,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.6188,28.3633,49.293,49.9385,49.207,49.7334,28.5059,28.4108,49.2952,49.9378,49.209,49.7367
0.467683,0.092053,idlog_20251101_201140_HS11_c1ch1,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.5059,28.4108,49.2952,49.9378,49.209,49.7367,28.5264,28.3965,49.3018,49.9395,49.208,49.7412
0.563635,0.095952,idlog_20251101_201140_HS11_c1ch1,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.5264,28.3965,49.3018,49.9395,49.208,49.7412,28.4821,28.3799,49.2874,49.9391,49.2038,49.7406
0.655668,0.092033,idlog_20251101_201140_HS11_c1ch1,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.4821,28.3799,49.2874,49.9391,49.2038,49.7406,28.4176,28.3363,49.2985,49.9398,49.1999,49.7396
0.747687,0.092018,idlog_20251101_201140_HS11_c1ch1,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.4176,28.3363,49.2985,49.9398,49.1999,49.7396,28.5837,28.4375,49.2985,49.9401,49.2093,49.734
0.84368,0.095993,idlog_20251101_201140_HS11_c1ch1,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.5837,28.4375,49.2985,49.9401,49.2093,49.734,28.5205,28.3356,49.2962,49.9395,49.2077,49.7402
0.935672,0.091992,idlog_20251101_201140_HS11_c1ch1,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.5205,28.3356,49.2962,49.9395,49.2077,49.7402,28.471,28.3704,49.2962,49.9411,49.2041,49.7399
1.027719,0.092047,idlog_20251101_201140_HS11_c1ch1,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.471,28.3704,49.2962,49.9411,49.2041,49.7399,28.5423,28.2979,49.2995,49.9382,49.2025,49.7383
