# started_utc=2025-11-04T11:27:19.811647Z
# rows=3
# cols=2
# threshold_init=30
# threshold_mode_init=global
t_iso,loop_idx,auto_mode,dn_state,profile,exposure_locked,threshold_mode,threshold_value,dark_cutoff,overall_dark,S00_dark,S01_dark,S10_dark,S11_dark,S20_dark,S21_dark,DAC_HF1,DAC_HF2,DAC_HS11,DAC_HS12,DAC_HS21,DAC_HS22,DAC_LF1,DAC_LF2,DAC_LS1,DAC_LS2
2025-11-04T11:27:20.252472Z,1,1,0,Classroom,0,global,30,30,1,0,0,3,1,1,2,0,0,0,0,0,0,0,0,0,0
2025-11-04T11:27:20.589865Z,2,1,0,Classroom,0,global,30,30,1,0,0,3,1,1,2,0,0,0,0,0,0,0,0,0,0
2025-11-04T11:27:20.717617Z,3,1,0,Classroom,0,global,30,30,1,0,0,3,1,1,2,0,0,0,0,0,0,0,0,0,0
2025-11-04T11:27:20.842662Z,4,1,0,Classroom,0,global,30,30,1,0,0,3,1,1,2,0,0,0,0,0,0,0,0,0,0
2025-11-04T11:27:20.963144Z,5,1,0,Classroom,0,global,30,30,1,0,0,3,1,1,2,0,0,0,0,0,0,0,0,0,0
2025-11-04T11:27:21.084611Z,6,1,0,Classroom,0,global,30,30,1,0,0,3,1,1,2,0,0,0,0,0,0,0,0,0,0
2025-11-04T11:27:21.210521Z,7,1,0,Classroom,0,global,30,30,1,0,0,3,1,1,2,0,0,0,0,0,0,0,0,0,0
2025-11-04T11:27:21.337018Z,8,1,0,Classroom,0,global,30,30,1,0,0,3,1,1,2,0,0,0,0,0,0,0,0,0,0
2025-11-04T11:27:21.462945Z,9,1,0,Classroom,0,global,30,30,1,0,0,3,1,1,2,0,0,0,0,0,0,0,0,0,0
2025-11-04T11:27:21.688469Z,10,1,0,Classroom,0,global,30,30,1,0,0,3,1,1,2,0,0,0,0,0,0,0,0,0,0
2025-11-04T11:27:21.814688Z,11,1,0,Classroom,0,global,30,30,1,0,0,3,1,1,2,0,0,0,0,0,0,0,0,0,0
2025-11-04T11:27:21.939265Z,12,1,0,Classroom,0,global,30,30,1,0,0,3,1,1,2,0,0,0,0,0,0,0,0,0,0
2025-11-04T11:27:22.062364Z,13,1,0,Classroom,0,global,30,30,1,0,0,3,1,1,2,0,0,0,0,0,0,0,0,0,0
2025-11-04T11:27:22.194378Z,14,1,0,Classroom,0,global,30,30,1,0,0,3,1,1,2,0,0,0,0,0,0,0,0,0,0
2025-11-04T11:27:22.317790Z,15,1,0,Classroom,0,global,30,30,1,0,0,3,1,1,2,0,0,0,0,0,0,0,0,0,0
2025-11-04T11:27:22.442820Z,16,1,0,Classroom,0,global,30,30,1,0,0,3,1,1,2,0,0,0,0,0,0,0,0,0,0
2025-11-04T11:27:22.564897Z,17,1,0,Classroom,0,global,30,30,1,0,0,3,1,1,2,0,0,0,0,0,0,0,0,0,0
