# started_utc=2025-11-04T11:32:27.651693Z
# rows=3
# cols=2
# threshold_init=30
# threshold_mode_init=global
t_iso,loop_idx,auto_mode,dn_state,profile,exposure_locked,exposure_ms,exposure_gain,threshold_mode,threshold_value,dark_cutoff,overall_dark,S00_dark,S01_dark,S10_dark,S11_dark,S20_dark,S21_dark,DAC_HF1,DAC_HF2,DAC_HS11,DAC_HS12,DAC_HS21,DAC_HS22,DAC_LF1,DAC_LF2,DAC_LS1,DAC_LS2
2025-11-04T11:32:28.091940Z,1,1,0,Classroom,1,8.0,,global,30,30,1,0,0,3,1,1,3,0,0,0,0,0,0,0,0,0,0
2025-11-04T11:32:28.437832Z,2,1,0,Classroom,1,8.0,,global,30,30,1,0,0,3,1,1,3,0,0,0,0,0,0,0,0,0,0
2025-11-04T11:32:28.561605Z,3,1,0,Classroom,1,8.0,,global,30,30,1,0,0,3,1,1,3,0,0,0,0,0,0,0,0,0,0
2025-11-04T11:32:28.683515Z,4,1,0,Classroom,1,8.0,,global,30,30,2,0,0,3,1,1,4,0,0,0,0,0,0,0,0,0,0
2025-11-04T11:32:28.802801Z,5,1,0,Classroom,1,8.0,,global,30,30,1,0,0,3,1,1,3,0,0,0,0,0,0,0,0,0,0
2025-11-04T11:32:28.922309Z,6,1,0,Classroom,1,8.0,,global,30,30,1,0,0,3,1,1,3,0,0,0,0,0,0,0,0,0,0
2025-11-04T11:32:29.041659Z,7,1,0,Classroom,1,8.0,,global,30,30,1,0,0,3,1,1,3,0,0,0,0,0,0,0,0,0,0
2025-11-04T11:32:29.163503Z,8,1,0,Classroom,1,8.0,,global,30,30,1,0,0,3,1,1,3,0,0,0,0,0,0,0,0,0,0
2025-11-04T11:32:29.281125Z,9,1,0,Classroom,1,8.0,,global,30,30,1,0,0,3,1,1,3,0,0,0,0,0,0,0,0,0,0
2025-11-04T11:32:29.402160Z,10,1,0,Classroom,1,8.0,,global,30,30,1,0,0,3,1,1,3,0,0,0,0,0,0,0,0,0,0
2025-11-04T11:32:29.522070Z,11,1,0,Classroom,1,8.0,,global,30,30,1,0,0,3,1,1,3,0,0,0,0,0,0,0,0,0,0
2025-11-04T11:32:29.641654Z,12,1,0,Classroom,1,8.0,,global,30,30,1,0,0,3,1,1,3,0,0,0,0,0,0,0,0,0,0
2025-11-04T11:32:29.761221Z,13,1,0,Classroom,1,8.0,,global,30,30,1,0,0,3,1,1,3,0,0,0,0,0,0,0,0,0,0
2025-11-04T11:32:29.882287Z,14,1,0,Classroom,1,8.0,,global,30,30,1,0,0,3,1,1,3,0,0,0,0,0,0,0,0,0,0
2025-11-04T11:32:30.000938Z,15,1,0,Classroom,1,8.0,,global,30,30,1,0,0,3,1,1,3,0,0,0,0,0,0,0,0,0,0
2025-11-04T11:32:30.121923Z,16,1,0,Classroom,1,8.0,,global,30,30,1,0,0,3,1,1,3,0,0,0,0,0,0,0,0,0,0
2025-11-04T11:32:30.241605Z,17,1,0,Classroom,1,8.0,,global,30,30,1,0,0,3,1,1,3,0,0,0,0,0,0,0,0,0,0
2025-11-04T11:32:30.362139Z,18,1,0,Classroom,1,8.0,,global,30,30,1,0,0,3,1,1,3,0,0,0,0,0,0,0,0,0,0
2025-11-04T11:32:30.481168Z,19,1,0,Classroom,1,8.0,,global,30,30,1,0,0,3,1,1,3,0,0,0,0,0,0,0,0,0,0
2025-11-04T11:32:30.604078Z,20,1,0,Classroom,1,8.0,,global,30,30,1,0,0,3,1,1,3,0,0,0,0,0,0,0,0,0,0
2025-11-04T11:32:30.722282Z,21,1,0,Classroom,1,8.0,,global,30,30,1,0,0,3,1,1,3,0,0,0,0,0,0,0,0,0,0
2025-11-04T11:32:30.842186Z,22,1,0,Classroom,1,8.0,,global,30,30,1,0,0,3,1,1,3,0,0,0,0,0,0,0,0,0,0
2025-11-04T11:32:30.964068Z,23,1,0,Classroom,1,8.0,,global,30,30,1,0,0,3,1,1,3,0,0,0,0,0,0,0,0,0,0
2025-11-04T11:32:31.083259Z,24,1,0,Classroom,1,8.0,,global,30,30,1,0,0,3,1,1,3,0,0,0,0,0,0,0,0,0,0
2025-11-04T11:32:31.201802Z,25,1,0,Classroom,1,8.0,,global,30,30,1,0,0,3,1,1,3,0,0,0,0,0,0,0,0,0,0
2025-11-04T11:32:31.323657Z,26,1,0,Classroom,1,8.0,,global,30,30,1,0,0,3,1,1,3,0,0,0,0,0,0,0,0,0,0
2025-11-04T11:32:31.443546Z,27,1,0,Classroom,1,8.0,,global,30,30,1,0,0,3,1,1,3,0,0,0,0,0,0,0,0,0,0
2025-11-04T11:32:31.561935Z,28,1,0,Classroom,1,8.0,,global,30,30,1,0,0,3,1,1,3,0,0,0,0,0,0,0,0,0,0
2025-11-04T11:32:31.681876Z,29,1,0,Classroom,1,8.0,,global,30,30,1,0,0,3,1,1,3,0,0,0,0,0,0,0,0,0,0
2025-11-04T11:32:31.803059Z,30,1,0,Classroom,1,8.0,,global,30,30,1,0,0,3,1,1,3,0,0,0,0,0,0,0,0,0,0
2025-11-04T11:32:31.921468Z,31,1,0,Classroom,1,8.0,,global,30,30,1,0,0,3,1,1,3,0,0,0,0,0,0,0,0,0,0
2025-11-04T11:32:32.042441Z,32,1,0,Classroom,1,8.0,,global,30,30,1,0,0,3,1,1,3,0,0,0,0,0,0,0,0,0,0
2025-11-04T11:32:32.161497Z,33,1,0,Classroom,1,8.0,,global,30,30,1,0,0,3,1,1,3,0,0,0,0,0,0,0,0,0,0
2025-11-04T11:32:32.281936Z,34,1,0,Classroom,1,8.0,,global,30,30,1,0,0,3,1,1,3,0,0,0,0,0,0,0,0,0,0
2025-11-04T11:32:32.407835Z,35,1,0,Classroom,1,8.0,,global,30,30,1,0,0,3,1,1,3,0,0,0,0,0,0,0,0,0,0
2025-11-04T11:32:32.535363Z,36,1,0,Classroom,1,8.0,,global,30,30,1,0,0,3,1,1,3,0,0,0,0,0,0,0,0,0,0
2025-11-04T11:32:32.658386Z,37,1,0,Classroom,1,8.0,,global,30,30,1,0,0,3,1,1,3,0,0,0,0,0,0,0,0,0,0
2025-11-04T11:32:32.783132Z,38,1,0,Classroom,1,8.0,,global,30,30,1,0,0,3,1,1,3,0,0,0,0,0,0,0,0,0,0
2025-11-04T11:32:32.906565Z,39,1,0,Classroom,1,8.0,,global,30,30,1,0,0,3,1,1,4,0,0,0,0,0,0,0,0,0,0
2025-11-04T11:32:33.031567Z,40,1,0,Classroom,1,8.0,,global,30,30,1,0,0,3,1,1,3,0,0,0,0,0,0,0,0,0,0
2025-11-04T11:32:33.160985Z,41,1,0,Classroom,1,8.0,,global,30,30,1,0,0,3,1,1,3,0,0,0,0,0,0,0,0,0,0
2025-11-04T11:32:33.296042Z,42,1,0,Classroom,1,8.0,,global,30,30,1,0,0,3,1,1,3,0,0,0,0,0,0,0,0,0,0
2025-11-04T11:32:33.429404Z,43,1,0,Classroom,1,8.0,,global,30,30,1,0,0,3,1,1,3,0,0,0,0,0,0,0,0,0,0
2025-11-04T11:32:33.554380Z,44,1,0,Classroom,1,8.0,,global,30,30,1,0,0,3,1,1,3,0,0,0,0,0,0,0,0,0,0
2025-11-04T11:32:33.677204Z,45,1,0,Classroom,1,8.0,,global,30,30,1,0,0,3,1,1,3,0,0,0,0,0,0,0,0,0,0
2025-11-04T11:32:33.802219Z,46,1,0,Classroom,1,8.0,,global,30,30,1,0,0,3,1,1,3,0,0,0,0,0,0,0,0,0,0
2025-11-04T11:32:33.921931Z,47,1,0,Classroom,1,8.0,,global,30,30,49,38,51,66,64,22,54,3,3,3,3,3,3,0,3,3,3
2025-11-04T11:32:34.040063Z,48,1,0,Classroom,1,8.0,,global,30,30,43,27,44,63,59,16,48,0,6,0,6,6,6,0,6,0,6
2025-11-04T11:32:34.156251Z,49,1,0,Classroom,1,8.0,,global,30,30,33,15,29,56,51,7,41,0,9,0,5,9,9,0,9,0,3
2025-11-04T11:32:34.273159Z,50,1,0,Classroom,1,8.0,,global,30,30,33,15,29,55,51,7,41,0,12,0,8,12,12,0,12,0,0
2025-11-04T11:32:34.392387Z,51,1,0,Classroom,1,8.0,,global,30,30,32,14,28,55,50,7,41,0,15,0,10,15,15,0,15,0,0
2025-11-04T11:32:34.512803Z,52,1,0,Classroom,1,8.0,,global,30,30,32,15,28,55,50,7,41,0,18,0,10,18,18,0,18,0,0
2025-11-04T11:32:34.630181Z,53,1,0,Classroom,1,8.0,,global,30,30,31,12,27,54,49,6,39,0,21,0,7,21,21,0,21,0,0
2025-11-04T11:32:34.749792Z,54,1,0,Classroom,1,8.0,,global,30,30,30,10,26,54,48,6,37,0,24,0,6,24,24,0,24,0,0
2025-11-04T11:32:34.872407Z,55,1,0,Classroom,1,8.0,,global,30,30,28,9,21,54,47,6,33,0,27,0,3,27,27,0,27,0,0
2025-11-04T11:32:34.993918Z,56,1,0,Classroom,1,8.0,,global,30,30,27,8,18,52,45,5,32,0,29,0,0,30,30,0,29,0,0
