# started_utc=2025-11-04T12:49:47.041202Z
# rows=3
# cols=2
# PID_Kp=1.2
# PID_Ki=2.4
# PID_Kd=0.045
# time_notes=t_iso_utc is UTC; t_unix_s is epoch seconds; monotonic_ns is high-res monotonic clock
t_iso_utc,t_unix_s,monotonic_ns,loop_dt_ms,frame_dt_ms,loop_idx,auto_mode,dn_state,profile,exposure_locked,exposure_ms,exposure_gain,PID_Kp,PID_Ki,PID_Kd,threshold_mode,threshold_value,dark_cutoff,overall_dark,S00_dark,S01_dark,S10_dark,S11_dark,S20_dark,S21_dark,DAC_HF1,DAC_HF2,DAC_HS11,DAC_HS12,DAC_HS21,DAC_HS22,DAC_LF1,DAC_LF2,DAC_LS1,DAC_LS2
2025-11-04T12:49:47.482896Z,1762260587.482906,16828755043263,0.00063,,1,1,0,Classroom,1,8.0,,1.2,2.4,0.045,global,30,30,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2025-11-04T12:49:47.736889Z,1762260587.736899,16829436413411,681.370148,254.035574,2,1,0,Classroom,1,8.0,,1.2,2.4,0.045,global,30,30,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2025-11-04T12:49:47.804524Z,1762260587.804534,16829506759411,70.346,67.683314,3,1,0,Classroom,1,8.0,,1.2,2.4,0.045,global,30,30,0,0,0,1,1,0,0,3,3,3,3,3,3,3,3,3,3
2025-11-04T12:49:47.872484Z,1762260587.872495,16829574455059,67.695648,67.943278,4,1,0,Classroom,1,8.0,,1.2,2.4,0.045,global,30,30,0,0,0,1,1,0,0,4,4,4,4,3,4,4,4,4,4
2025-11-04T12:49:47.940021Z,1762260587.940032,16829642945003,68.489944,67.559611,5,1,0,Classroom,1,8.0,,1.2,2.4,0.045,global,30,30,0,0,0,2,1,0,0,4,4,4,4,4,4,4,4,4,4
2025-11-04T12:49:48.011480Z,1762260588.011490,16829712785022,69.840019,71.485204,6,1,0,Classroom,1,8.0,,1.2,2.4,0.045,global,30,30,1,0,0,5,2,0,1,2,2,2,2,4,2,2,2,2,2
2025-11-04T12:49:48.077902Z,1762260588.077913,16829781102485,68.317463,66.401074,7,1,0,Classroom,1,8.0,,1.2,2.4,0.045,global,30,30,1,0,0,5,2,0,1,5,5,5,5,4,4,5,5,5,5
2025-11-04T12:49:48.145146Z,1762260588.145157,16829847672892,66.570407,67.189833,8,1,0,Classroom,1,8.0,,1.2,2.4,0.045,global,30,30,1,0,0,5,1,0,1,4,4,4,4,4,4,4,4,4,4
2025-11-04T12:49:48.214383Z,1762260588.214392,16829917372781,69.699889,69.28763,9,1,0,Classroom,1,8.0,,1.2,2.4,0.045,global,30,30,1,0,0,5,2,0,1,3,3,3,3,2,3,3,3,3,3
2025-11-04T12:49:48.281421Z,1762260588.281431,16829983939244,66.566463,66.981981,10,1,0,Classroom,1,8.0,,1.2,2.4,0.045,global,30,30,1,0,0,5,2,0,1,4,4,4,4,4,4,4,4,4,4
