# timestamp: 20251101_164803
# cam_device: /dev/video0
# res: 2560x720
# exposure_ms: 8.0
# gain: 10
# stimulus: rand_telegraph
# low: 0
# high: 200
# hold_frames: 3
# test_light: HS22
# duration_s: 12.0
# dark_thresh: 50
# notes: door closed, lab lights on, ~1m distance
frame_idx,t_s,dt_s,u_dac,stim_bit,y_metric,y_mean,y_std,y_p10,y_p90,sat_lo_pct,sat_hi_pct,frame_drop
0,0.09117,0.0,200,1,0.0,86.316,3.822,84.0,89.0,0.0,0.0,0
1,0.183224,0.092054,200,1,0.0,106.082,25.497,86.0,135.0,0.0,0.0,0
2,0.278846,0.095623,200,1,0.0,106.08,25.49,86.0,135.0,0.0,0.0,0
3,0.370868,0.092021,200,1,0.0,106.079,25.479,86.0,135.0,0.0,0.0,0
4,0.462916,0.092048,200,1,0.0,106.072,25.482,86.0,135.0,0.0,0.0,0
5,0.558851,0.095935,200,1,0.0,106.082,25.49,86.0,135.0,0.0,0.0,0
6,0.650867,0.092016,0,-1,0.0,106.078,25.486,86.0,135.0,0.0,0.0,0
7,0.742898,0.092031,0,-1,0.0,105.574,25.196,86.0,134.0,0.0,0.0,0
8,0.838886,0.095988,0,-1,0.0,86.179,3.809,84.0,89.0,0.0,0.0,0
9,0.930895,0.092009,0,-1,0.0,86.168,3.804,84.0,89.0,0.0,0.0,0
10,1.026858,0.095963,0,-1,0.0,86.171,3.804,84.0,89.0,0.0,0.0,0
11,1.118902,0.092044,0,-1,0.0,86.178,3.81,84.0,89.0,0.0,0.0,0
12,1.210932,0.09203,0,-1,0.0,86.174,3.81,84.0,89.0,0.0,0.0,0
13,1.306914,0.095982,0,-1,0.0,86.175,3.805,84.0,89.0,0.0,0.0,0
14,1.398936,0.092022,0,-1,0.0,86.178,3.815,84.0,89.0,0.0,0.0,0
15,1.490956,0.09202,0,-1,0.0,86.18,3.816,84.0,89.0,0.0,0.0,0
16,1.586926,0.09597,0,-1,0.0,86.187,3.818,84.0,89.0,0.0,0.0,0
17,1.678943,0.092017,0,-1,0.0,86.184,3.823,84.0,89.0,0.0,0.0,0
18,1.770988,0.092045,200,1,0.0,86.179,3.824,84.0,89.0,0.0,0.0,0
19,1.866961,0.095973,200,1,0.0,86.335,3.846,84.0,89.0,0.0,0.0,0
