# timestamp: 20251101_180002
# cam_device: /dev/video0
# res: 2560x720
# exposure_ms: 5.0
# gain: 10.0
# stimulus: rand_telegraph
# low: 0
# high: 200
# hold_frames: 3
# test_light: HS22
# duration_s: 15.0
# dark_thresh: 100
# notes: door closed, lab lights on, ~1m distance
frame_idx,t_s,dt_s,u_dac,stim_bit,y_metric,y_mean,y_std,y_p10,y_p90,sat_lo_pct,sat_hi_pct,frame_drop
0,0.090825,0.0,200,1,76.3194,97.053,18.473,86.0,117.0,0.0,0.0,0
1,0.182821,0.091996,200,1,64.1875,104.073,23.643,87.0,140.1,0.0,0.0,0
2,0.278822,0.096,200,1,64.2431,104.071,23.645,87.0,141.0,0.0,0.0,0
3,0.370681,0.091859,0,-1,64.1806,104.061,23.644,87.0,140.0,0.0,0.0,0
4,0.462792,0.092111,0,-1,64.7708,103.759,23.372,87.0,140.0,0.0,0.0,0
5,0.558543,0.095751,0,-1,76.8542,96.972,18.452,86.0,117.0,0.0,0.0,0
6,0.650559,0.092016,0,-1,76.8403,96.971,18.448,86.0,117.0,0.0,0.0,0
7,0.742577,0.092018,0,-1,76.8333,96.975,18.453,86.0,117.0,0.0,0.0,0
8,0.838544,0.095967,0,-1,76.9097,96.969,18.456,86.0,117.0,0.0,0.0,0
9,0.930571,0.092027,200,1,76.8819,96.965,18.448,86.0,117.0,0.0,0.0,0
10,1.026551,0.09598,200,1,76.3403,97.05,18.462,86.0,117.0,0.0,0.0,0
11,1.118564,0.092013,200,1,64.1597,104.065,23.633,87.0,140.1,0.0,0.0,0
12,1.210591,0.092027,200,1,64.1597,104.056,23.634,87.0,140.0,0.0,0.0,0
13,1.306569,0.095978,200,1,64.25,104.053,23.641,87.0,140.1,0.0,0.0,0
14,1.398578,0.09201,200,1,64.2292,104.062,23.639,87.0,141.0,0.0,0.0,0
15,1.490635,0.092057,0,-1,64.2083,104.062,23.632,87.0,140.0,0.0,0.0,0
16,1.586595,0.09596,0,-1,65.1181,103.576,23.202,87.0,139.0,0.0,0.0,0
17,1.678581,0.091986,0,-1,76.8958,96.968,18.454,86.0,117.0,0.0,0.0,0
18,1.770622,0.092042,0,-1,76.8611,96.966,18.453,86.0,117.0,0.0,0.0,0
19,1.866583,0.09596,0,-1,76.8194,96.983,18.457,86.0,117.0,0.0,0.0,0
20,1.958604,0.092022,0,-1,76.8403,96.981,18.455,86.0,117.0,0.0,0.0,0
21,2.054599,0.095995,0,-1,76.8264,96.975,18.451,86.0,117.0,0.0,0.0,0
22,2.146592,0.091993,0,-1,76.8958,96.969,18.458,86.0,117.0,0.0,0.0,0
23,2.238646,0.092054,0,-1,76.8611,96.977,18.462,86.0,117.0,0.0,0.0,0
24,2.334605,0.095959,200,1,76.9028,96.978,18.462,86.0,117.0,0.0,0.0,0
25,2.42662,0.092015,200,1,76.3403,97.057,18.463,86.0,117.0,0.0,0.0,0
26,2.518665,0.092045,200,1,64.1667,104.065,23.646,87.0,141.0,0.0,0.0,0
27,2.614623,0.095958,200,1,64.2083,104.063,23.643,87.0,140.1,0.0,0.0,0
28,2.706647,0.092024,200,1,64.2222,104.067,23.64,87.0,141.0,0.0,0.0,0
29,2.798672,0.092025,200,1,64.2639,104.072,23.641,87.0,141.0,0.0,0.0,0
30,2.894632,0.09596,200,1,64.2431,104.067,23.641,87.0,141.0,0.0,0.0,0
31,2.986657,0.092025,200,1,64.2014,104.064,23.639,87.0,140.1,0.0,0.0,0
32,3.0787,0.092043,200,1,64.2153,104.056,23.641,87.0,141.0,0.0,0.0,0
33,3.174659,0.095959,200,1,64.2014,104.063,23.642,87.0,141.0,0.0,0.0,0
34,3.266699,0.09204,200,1,64.2014,104.069,23.634,87.0,140.0,0.0,0.0,0
35,3.362666,0.095967,200,1,64.2014,104.058,23.633,87.0,140.0,0.0,0.0,0
36,3.454683,0.092017,200,1,64.2361,104.05,23.64,87.0,140.0,0.0,0.0,0
37,3.546739,0.092056,200,1,64.2569,104.051,23.636,87.0,141.0,0.0,0.0,0
38,3.64271,0.095971,200,1,64.2153,104.062,23.631,87.0,140.1,0.0,0.0,0
39,3.734692,0.091982,0,-1,64.2639,104.053,23.632,87.0,140.0,0.0,0.0,0
40,3.826732,0.09204,0,-1,64.9514,103.695,23.313,87.0,140.0,0.0,0.0,0
41,3.922711,0.095979,0,-1,76.8611,96.957,18.439,86.0,117.0,0.0,0.0,0
42,4.014714,0.092003,0,-1,76.9167,96.964,18.443,86.0,117.0,0.0,0.0,0
43,4.106764,0.09205,0,-1,76.8889,96.968,18.436,86.0,117.0,0.0,0.0,0
44,4.202713,0.09595,0,-1,76.8681,96.96,18.432,86.0,117.0,0.0,0.0,0
45,4.294751,0.092037,200,1,76.8542,96.951,18.435,86.0,117.0,0.0,0.0,0
46,4.390709,0.095959,200,1,76.2986,97.043,18.456,86.0,117.0,0.0,0.0,0
47,4.482727,0.092018,200,1,64.2222,104.053,23.628,87.0,140.0,0.0,0.0,0
48,4.574766,0.092039,0,-1,64.2639,104.053,23.628,87.0,141.0,0.0,0.0,0
49,4.670715,0.09595,0,-1,65.125,103.59,23.217,87.0,139.0,0.0,0.0,0
50,4.762737,0.092021,0,-1,76.9167,96.965,18.444,86.0,117.0,0.0,0.0,0
51,4.854783,0.092046,0,-1,76.8958,96.958,18.438,86.0,117.0,0.0,0.0,0
52,4.950738,0.095955,0,-1,76.875,96.963,18.438,86.0,117.0,0.0,0.0,0
53,5.042767,0.092029,0,-1,76.875,96.962,18.443,86.0,117.0,0.0,0.0,0
54,5.13479,0.092023,0,-1,76.9167,96.96,18.447,86.0,117.0,0.0,0.0,0
55,5.230761,0.095972,0,-1,76.8472,96.96,18.442,86.0,117.0,0.0,0.0,0
56,5.322781,0.09202,0,-1,76.8819,96.963,18.441,86.0,117.0,0.0,0.0,0
57,5.418773,0.095991,0,-1,76.9236,96.969,18.446,86.0,117.0,0.0,0.0,0
58,5.510785,0.092012,0,-1,76.8542,96.967,18.449,86.0,117.0,0.0,0.0,0
59,5.602819,0.092034,0,-1,76.8681,96.964,18.442,86.0,117.0,0.0,0.0,0
60,5.698763,0.095944,200,1,76.8889,96.96,18.443,86.0,117.0,0.0,0.0,0
61,5.790801,0.092038,200,1,76.3194,97.05,18.463,86.0,117.0,0.0,0.0,0
62,5.882799,0.091998,200,1,64.1806,104.061,23.634,87.0,140.0,0.0,0.0,0
63,5.978767,0.095968,200,1,64.2222,104.056,23.639,87.0,140.0,0.0,0.0,0
64,6.070786,0.092019,200,1,64.2569,104.051,23.638,87.0,140.0,0.0,0.0,0
65,6.162797,0.092011,200,1,64.2083,104.055,23.633,87.0,140.0,0.0,0.0,0
66,6.258766,0.095969,200,1,64.2292,104.057,23.636,87.0,140.1,0.0,0.0,0
67,6.350802,0.092036,200,1,64.2431,104.056,23.638,87.0,141.0,0.0,0.0,0
68,6.442837,0.092035,200,1,64.3125,104.048,23.634,87.0,140.0,0.0,0.0,0
69,6.538795,0.095958,200,1,64.2292,104.049,23.629,87.0,140.0,0.0,0.0,0
70,6.630828,0.092033,200,1,64.2361,104.053,23.63,87.0,140.0,0.0,0.0,0
71,6.726796,0.095968,200,1,64.25,104.049,23.624,87.0,141.0,0.0,0.0,0
72,6.818806,0.09201,200,1,64.2292,104.043,23.624,87.0,140.0,0.0,0.0,0
73,6.910834,0.092028,200,1,64.2014,104.04,23.622,87.0,140.0,0.0,0.0,0
74,7.006801,0.095966,200,1,64.25,104.043,23.626,87.0,140.0,0.0,0.0,0
75,7.098818,0.092017,200,1,64.2639,104.049,23.627,87.0,140.0,0.0,0.0,0
76,7.190918,0.0921,200,1,64.1944,104.054,23.627,87.0,141.0,0.0,0.0,0
