# timestamp: 20251101_194809
# cam_device: /dev/video0
# res: 2560x720
# exposure_ms: 8.0
# gain: 10.0
# stimulus: rand_telegraph
# low: 0
# high: 200
# hold_frames: 3
# test_light: LF1
# light_col: 1
# light_channel: 5
# duration_s: 12.0
# dark_thresh: 90
# notes: door closed, lab lights on, ~1m distance
frame_idx,t_s,dt_s,u_dac,stim_bit,mu_S11,mu_S12,mu_S21,mu_S22,mu_S31,mu_S32,y_S11,y_S12,y_S21,y_S22,y_S31,y_S32,frame_drop
0,0.091404,0.0,200,1,88.9211,111.2352,86.0069,87.0026,85.9305,90.0462,50.0,34.516,49.9997,49.889,50.0,49.9196,0
1,0.183186,0.091782,200,1,103.7879,117.1274,90.0877,88.2148,91.57,96.3631,40.4538,23.7087,47.8721,49.7249,46.2764,44.5664,0
2,0.279144,0.095958,200,1,103.7388,117.1075,90.0731,88.2093,91.5557,96.34,40.4775,23.7067,47.8874,49.7246,46.2861,44.568,0
3,0.371179,0.092035,0,-1,103.7028,117.0943,90.0653,88.2095,91.5376,96.3223,40.5671,23.804,47.891,49.7272,46.2799,44.569,0
4,0.463247,0.092067,0,-1,103.671,117.0753,90.0535,88.2051,91.5103,96.2946,40.6335,23.8464,47.8981,49.723,46.2933,44.5723,0
5,0.559205,0.095959,0,-1,88.911,111.2234,85.9938,86.9982,85.8777,89.9874,50.0,34.5866,49.9984,49.891,50.0,49.9193,0
6,0.651204,0.091999,0,-1,88.9033,111.2194,85.9899,86.9963,85.8825,89.985,50.0,34.5615,49.9987,49.8883,50.0,49.9193,0
7,0.743237,0.092033,0,-1,88.9017,111.2113,85.9967,86.9959,85.8876,89.9816,50.0,34.5456,49.9977,49.8936,50.0,49.9219,0
8,0.839217,0.095979,0,-1,88.9051,111.2079,85.9962,86.9949,85.882,89.9811,50.0,34.5586,49.999,49.8893,50.0,49.9222,0
9,0.931239,0.092023,0,-1,88.904,111.2046,85.9941,86.9939,85.8839,89.9855,50.0,34.5765,49.999,49.8883,50.0,49.9157,0
10,1.023293,0.092054,0,-1,88.9115,111.2046,85.9916,86.9937,85.8833,89.9856,50.0,34.5716,49.9987,49.8919,50.0,49.9176,0
11,1.119228,0.095935,0,-1,88.9074,111.1996,85.9967,86.9973,85.8811,89.9848,50.0,34.5856,49.999,49.8903,50.0,49.9222,0
12,1.211266,0.092038,200,1,88.9132,111.2007,85.9954,86.9939,85.8852,89.9843,50.0,34.5557,49.9984,49.8883,50.0,49.9235,0
13,1.307228,0.095962,200,1,88.919,111.2012,86.0078,87.0029,85.9282,90.0386,50.0,34.5602,49.9993,49.8913,50.0,49.9196,0
14,1.399245,0.092017,200,1,103.7652,117.094,90.0787,88.2056,91.5603,96.3432,40.4967,23.7809,47.8776,49.734,46.265,44.5664,0
15,1.491279,0.092035,0,-1,103.716,117.074,90.0696,88.216,91.5431,96.3304,40.5531,23.7949,47.8747,49.7214,46.2783,44.5612,0
16,1.587253,0.095974,0,-1,103.6852,117.0562,90.0572,88.203,91.5146,96.2942,40.5928,23.8158,47.888,49.7305,46.292,44.5703,0
17,1.679274,0.092021,0,-1,88.9098,111.2086,85.9894,86.9921,85.8821,89.9829,50.0,34.6182,49.9987,49.8913,50.0,49.9225,0
18,1.771298,0.092024,200,1,88.9135,111.2145,85.9913,86.9925,85.8803,89.9836,50.0,34.5804,49.998,49.8923,50.0,49.9229,0
19,1.867268,0.09597,200,1,88.9133,111.2149,86.006,87.0009,85.9224,90.0322,50.0,34.5745,49.9977,49.8913,50.0,49.9209,0
20,1.959272,0.092004,200,1,103.7172,117.0863,90.0631,88.2116,91.5319,96.335,40.5521,23.7865,47.8913,49.7256,46.2868,44.5635,0
21,2.051298,0.092026,0,-1,103.6786,117.0753,90.0547,88.2039,91.5173,96.3137,40.6273,23.8307,47.8971,49.7327,46.2913,44.5706,0
22,2.147275,0.095977,0,-1,103.6519,117.067,90.0477,88.2013,91.4768,96.2787,40.6364,23.806,47.903,49.7272,46.3099,44.5719,0
23,2.239327,0.092052,0,-1,88.9139,111.2196,85.9932,87.0024,85.8464,89.9713,50.0,34.5804,49.999,49.8926,50.0,49.9186,0
24,2.335303,0.095976,0,-1,88.9108,111.2138,85.9894,86.9978,85.8416,89.9677,50.0,34.5674,49.9987,49.8916,50.0,49.9206,0
25,2.427296,0.091994,0,-1,88.9091,111.212,85.9906,86.9947,85.8394,89.9677,50.0,34.5443,49.999,49.89,50.0,49.9186,0
26,2.519339,0.092043,0,-1,88.9103,111.2053,85.9909,86.9942,85.8364,89.9647,50.0,34.5801,49.999,49.8903,50.0,49.9199,0
27,2.615293,0.095954,0,-1,88.9138,111.2,85.9907,86.9971,85.8362,89.9621,50.0,34.6025,49.9993,49.8926,50.0,49.9242,0
28,2.707322,0.092029,0,-1,88.9086,111.191,85.9953,86.9975,85.8357,89.9601,50.0,34.554,49.9987,49.8893,50.0,49.9229,0
29,2.799343,0.092021,0,-1,88.9012,111.1927,85.9949,86.9962,85.837,89.9582,50.0,34.5505,49.9997,49.8949,50.0,49.9232,0
30,2.895314,0.095971,200,1,88.9026,111.193,85.991,86.9964,85.8331,89.9569,50.0,34.5775,49.9984,49.8926,50.0,49.9183,0
31,2.987321,0.092007,200,1,88.9097,111.1901,86.0073,86.9975,85.8837,90.0146,50.0,34.5573,49.9993,49.8893,50.0,49.9202,0
