# timestamp: 20251101_201333
# cam_device: /dev/video0
# res: 2560x720
# exposure_ms: 8.0
# gain: 10.0
# stimulus: rand_telegraph
# low: 0
# high: 200
# hold_frames: 3
# test_light: HF2
# light_col: 2
# light_channel: 4
# duration_s: 4.0
# dark_thresh: 90
# notes: door closed, lab lights on, ~1m distance
frame_idx,t_s,dt_s,u_dac,stim_bit,mu_S11,mu_S12,mu_S21,mu_S22,mu_S31,mu_S32,y_S11,y_S12,y_S21,y_S22,y_S31,y_S32,frame_drop
0,0.095611,0.0,0,-1,88.5929,109.1759,85.814,86.6596,85.7071,89.317,50.0,37.0384,50.0,49.9482,50.0,49.9255,0
1,0.187378,0.091767,0,-1,88.5946,109.1824,85.8138,86.6638,85.6971,89.3148,50.0,36.9818,50.0,49.9463,50.0,49.9245,0
2,0.279443,0.092065,0,-1,88.5921,109.1836,85.82,86.6628,85.6957,89.3084,50.0,36.9762,50.0,49.9499,50.0,49.9268,0
3,0.375382,0.095939,200,1,88.589,109.1854,85.8167,86.6618,85.6968,89.3105,50.0,37.0166,49.9997,49.9479,50.0,49.9277,0
4,0.467403,0.09202,200,1,88.5875,109.1878,85.8219,86.6812,85.8098,90.7028,50.0,37.0101,50.0,49.9486,50.0,49.8499,0
5,0.56337,0.095967,200,1,95.2674,116.6685,89.1066,91.594,96.7584,136.7764,48.8353,24.0059,49.8109,49.1637,45.112,19.4102,0
6,0.655395,0.092025,0,-1,95.2493,116.6423,89.0965,91.5745,96.7222,136.7119,48.8363,24.126,49.8184,49.1784,45.1152,19.445,0
7,0.747445,0.09205,0,-1,95.2321,116.6253,89.0849,91.5534,96.6555,136.6241,48.835,24.165,49.8158,49.1833,45.1393,19.4782,0
8,0.843408,0.095962,0,-1,88.5998,109.1923,85.8177,86.662,85.7021,89.3138,50.0,36.999,50.0,49.9456,50.0,49.9248,0
9,0.935394,0.091986,200,1,88.5871,109.1766,85.8133,86.6636,85.6981,89.3045,50.0,37.0234,50.0,49.9486,50.0,49.9271,0
10,1.027442,0.092048,200,1,88.5997,109.1765,85.8224,86.6812,85.8181,90.7531,50.0,37.0075,50.0,49.9463,50.0,49.8327,0
11,1.123421,0.095979,200,1,95.2543,116.6265,89.0987,91.5713,96.7273,136.7194,48.8285,24.0954,49.8158,49.1673,45.1068,19.4531,0
12,1.215417,0.091996,200,1,95.2432,116.6127,89.0878,91.5647,96.7022,136.6828,48.8278,24.2135,49.8128,49.1855,45.1201,19.4388,0
13,1.307466,0.092049,200,1,95.2204,116.5971,89.0798,91.5471,96.6904,136.655,48.835,24.1452,49.8125,49.1781,45.1273,19.4554,0
14,1.40343,0.095965,200,1,95.2124,116.5803,89.0733,91.5407,96.6726,136.6346,48.8278,24.2386,49.818,49.181,45.1318,19.4854,0
15,1.495472,0.092042,0,-1,95.2085,116.5735,89.0754,91.543,96.6652,136.6189,48.8431,24.2633,49.82,49.1895,45.1413,19.4613,0
16,1.591446,0.095973,0,-1,95.2068,116.5842,89.0692,91.533,96.6235,136.5563,48.8464,24.2432,49.8226,49.1973,45.1562,19.5212,0
17,1.683443,0.091998,0,-1,88.5963,109.1766,85.8133,86.6586,85.7015,89.3174,50.0,37.083,50.0,49.9486,50.0,49.9261,0
18,1.775472,0.092028,200,1,88.5937,109.1768,85.8126,86.6597,85.7016,89.3121,50.0,37.0485,50.0,49.9469,50.0,49.9251,0
19,1.871466,0.095994,200,1,88.5923,109.1824,85.8267,86.6817,85.8179,90.7792,50.0,36.9993,50.0,49.946,50.0,49.8174,0
20,1.963482,0.092017,200,1,95.2404,116.6215,89.0928,91.5639,96.7062,136.6778,48.8411,24.1468,49.8161,49.1836,45.1217,19.4346,0
21,2.055533,0.092051,200,1,95.2267,116.6025,89.0806,91.5457,96.674,136.6373,48.8363,24.2145,49.8158,49.1826,45.1331,19.5013,0
22,2.151541,0.096008,200,1,95.203,116.5797,89.0753,91.5329,96.6629,136.615,48.8356,24.278,49.821,49.181,45.1488,19.4928,0
23,2.243543,0.092002,200,1,95.2028,116.5696,89.0713,91.5307,96.656,136.5995,48.8327,24.252,49.8197,49.1901,45.1364,19.5065,0
24,2.335523,0.09198,0,-1,95.2003,116.5721,89.0724,91.5287,96.6504,136.593,48.8395,24.2021,49.8184,49.1901,45.1465,19.5173,0
25,2.43152,0.095996,0,-1,95.1967,116.5685,89.063,91.5206,96.6089,136.5289,48.8376,24.264,49.8148,49.1882,45.1553,19.5602,0
26,2.523521,0.092001,0,-1,88.5913,109.1562,85.8181,86.6599,85.7018,89.3138,50.0,37.0977,50.0,49.946,50.0,49.9248,0
27,2.619512,0.095991,0,-1,88.5886,109.1638,85.8129,86.6565,85.7004,89.3075,50.0,37.0986,50.0,49.9473,50.0,49.9261,0
28,2.711558,0.092046,0,-1,88.5859,109.1574,85.8129,86.6551,85.6976,89.3076,50.0,37.054,50.0,49.9466,50.0,49.9268,0
