# timestamp: 20251101_211508
# cam_device: /dev/video0
# res: 2560x720
# exposure_ms: 5.0
# gain: 10.0
# stimulus: rand_telegraph
# low: 0
# high: 200
# hold_frames: 3
# test_light: HS22
# light_col: 2
# light_channel: 2
# duration_s: 12.0
# dark_thresh: 100
# notes: door closed, lab lights on, ~1m distance
frame_idx,t_s,dt_s,u_dac,stim_bit,mu_S11,mu_S12,mu_S21,mu_S22,mu_S31,mu_S32,y_S11,y_S12,y_S21,y_S22,y_S31,y_S32,frame_drop
0,0.095889,0.0,200,1,92.3328,111.5724,86.9119,90.0266,86.5758,114.2592,48.8877,37.9202,49.9967,49.6995,49.7581,29.6882,0
1,0.187585,0.091696,200,1,92.308,111.5647,86.9176,90.0277,86.5663,114.2552,48.8942,37.9668,49.9964,49.6982,49.7581,29.6898,0
2,0.283575,0.09599,200,1,92.3079,111.5747,86.9168,90.0287,86.5688,114.2533,48.8955,37.9535,49.9967,49.6992,49.7572,29.7161,0
3,0.375614,0.092039,0,-1,92.3157,111.5742,86.916,90.0296,86.5752,114.254,48.8893,37.9336,49.9961,49.7005,49.7562,29.6937,0
4,0.467645,0.092031,0,-1,92.2998,111.5081,86.9044,89.9789,86.5564,113.9211,48.903,38.0137,49.9967,49.6989,49.7627,29.7806,0
5,0.563584,0.095939,0,-1,87.5381,101.0359,85.3368,85.8844,85.3015,87.3562,50.0,40.8685,49.9967,49.9128,50.0,49.9896,0
6,0.655625,0.09204,0,-1,87.5167,101.0288,85.3356,85.8821,85.3004,87.3589,50.0,40.8757,49.9964,49.9108,50.0,49.9909,0
7,0.747656,0.092032,0,-1,87.516,101.0286,85.3315,85.8794,85.3024,87.3665,50.0,40.8708,49.9967,49.9115,50.0,49.9906,0
8,0.843627,0.095971,0,-1,87.5423,101.0321,85.3413,85.8851,85.3064,87.3668,50.0,40.8763,49.9967,49.9098,50.0,49.9899,0
9,0.935608,0.091981,200,1,87.5554,101.0335,85.3394,85.881,85.3094,87.3697,50.0,40.8714,49.9964,49.9095,50.0,49.9896,0
10,1.027665,0.092057,200,1,87.5338,101.0334,85.348,85.9123,85.3184,87.7467,50.0,40.8763,49.9967,49.9108,50.0,49.9906,0
